"","year","iso3c","sector","co2e_emissions"
"1",1990,"AFG","Total including LUCF",12.79
"2",1990,"AFG","Total excluding LUCF",15.18
"3",1990,"AFG","Energy",5.83
"4",1990,"AFG","Other Fuel Combustion",2.63
"5",1990,"AFG","Agriculture",8.07
"6",1990,"AFG","Transportation",1.67
"7",1990,"AFG","Waste",1.23
"8",1990,"AFG","Manufacturing/Construction",0.57
"9",1990,"AFG","Fugitive Emissions",0.61
"10",1990,"AFG","Industrial Processes",0.05
"11",1990,"AFG","Electricity/Heat",0.27
"12",1990,"AFG","Land-Use Change and Forestry",-2.39
"13",1990,"AFG","Building",0.08
"14",1990,"AFG","Bunker Fuels",0.02
"15",1991,"AFG","Total including LUCF",12.71
"16",1991,"AFG","Total excluding LUCF",15.1
"17",1991,"AFG","Energy",5.33
"18",1991,"AFG","Other Fuel Combustion",2.4
"19",1991,"AFG","Agriculture",8.4
"20",1991,"AFG","Transportation",1.55
"21",1991,"AFG","Waste",1.32
"22",1991,"AFG","Manufacturing/Construction",0.53
"23",1991,"AFG","Fugitive Emissions",0.52
"24",1991,"AFG","Industrial Processes",0.05
"25",1991,"AFG","Electricity/Heat",0.27
"26",1991,"AFG","Land-Use Change and Forestry",-2.39
"27",1991,"AFG","Building",0.07
"28",1991,"AFG","Bunker Fuels",0.02
"29",1992,"AFG","Total including LUCF",11.25
"30",1992,"AFG","Total excluding LUCF",13.63
"31",1992,"AFG","Energy",3.76
"32",1992,"AFG","Other Fuel Combustion",2.18
"33",1992,"AFG","Agriculture",8.41
"34",1992,"AFG","Transportation",0.77
"35",1992,"AFG","Waste",1.4
"36",1992,"AFG","Manufacturing/Construction",0.39
"37",1992,"AFG","Fugitive Emissions",0.22
"38",1992,"AFG","Industrial Processes",0.06
"39",1992,"AFG","Electricity/Heat",0.16
"40",1992,"AFG","Land-Use Change and Forestry",-2.39
"41",1992,"AFG","Building",0.03
"42",1992,"AFG","Bunker Fuels",0.02
"43",1993,"AFG","Total including LUCF",11.08
"44",1993,"AFG","Total excluding LUCF",13.46
"45",1993,"AFG","Energy",3.42
"46",1993,"AFG","Other Fuel Combustion",1.95
"47",1993,"AFG","Agriculture",8.49
"48",1993,"AFG","Transportation",0.74
"49",1993,"AFG","Waste",1.49
"50",1993,"AFG","Manufacturing/Construction",0.38
"51",1993,"AFG","Fugitive Emissions",0.16
"52",1993,"AFG","Industrial Processes",0.06
"53",1993,"AFG","Electricity/Heat",0.16
"54",1993,"AFG","Land-Use Change and Forestry",-2.39
"55",1993,"AFG","Building",0.03
"56",1993,"AFG","Bunker Fuels",0.02
