"","year","iso3c","sector","co2e_emissions"
"1",1990,"AFG","Energy",5.83
"2",1990,"AFG","Agriculture",8.07
"3",1990,"AFG","Waste",1.23
"4",1990,"AFG","Industrial Processes",0.05
"5",1990,"AFG","Land-Use Change and Forestry",-2.39
"6",1991,"AFG","Energy",5.33
"7",1991,"AFG","Agriculture",8.4
"8",1991,"AFG","Waste",1.32
"9",1991,"AFG","Industrial Processes",0.05
"10",1991,"AFG","Land-Use Change and Forestry",-2.39
"11",1992,"AFG","Energy",3.76
"12",1992,"AFG","Agriculture",8.41
"13",1992,"AFG","Waste",1.4
"14",1992,"AFG","Industrial Processes",0.06
"15",1992,"AFG","Land-Use Change and Forestry",-2.39
"16",1993,"AFG","Energy",3.42
"17",1993,"AFG","Agriculture",8.49
"18",1993,"AFG","Waste",1.49
"19",1993,"AFG","Industrial Processes",0.06
"20",1993,"AFG","Land-Use Change and Forestry",-2.39
"21",1994,"AFG","Energy",3.1
"22",1994,"AFG","Agriculture",8.52
"23",1994,"AFG","Waste",1.58
"24",1994,"AFG","Industrial Processes",0.07
"25",1994,"AFG","Land-Use Change and Forestry",-2.39
"26",1995,"AFG","Energy",2.78
"27",1995,"AFG","Agriculture",8.96
"28",1995,"AFG","Waste",1.67
"29",1995,"AFG","Industrial Processes",0.07
"30",1995,"AFG","Land-Use Change and Forestry",-2.39
"31",1996,"AFG","Energy",2.65
"32",1996,"AFG","Agriculture",9.98
"33",1996,"AFG","Waste",1.73
"34",1996,"AFG","Industrial Processes",0.08
"35",1996,"AFG","Land-Use Change and Forestry",-2.39
"36",1997,"AFG","Energy",2.51
"37",1997,"AFG","Agriculture",10.95
"38",1997,"AFG","Waste",1.79
"39",1997,"AFG","Industrial Processes",0.1
"40",1997,"AFG","Land-Use Change and Forestry",-2.39
"41",1998,"AFG","Energy",2.39
"42",1998,"AFG","Agriculture",11.75
"43",1998,"AFG","Waste",1.84
"44",1998,"AFG","Industrial Processes",0.11
"45",1998,"AFG","Land-Use Change and Forestry",-2.39
"46",1999,"AFG","Energy",2.1
"47",1999,"AFG","Agriculture",12.79
"48",1999,"AFG","Waste",1.9
"49",1999,"AFG","Industrial Processes",0.12
"50",1999,"AFG","Land-Use Change and Forestry",-2.39
"51",2000,"AFG","Energy",2.02
"52",2000,"AFG","Agriculture",10.99
"53",2000,"AFG","Waste",1.96
"54",2000,"AFG","Industrial Processes",0.11
"55",2000,"AFG","Land-Use Change and Forestry",-2.39
"56",2001,"AFG","Energy",2.03
"57",2001,"AFG","Agriculture",9.28
"58",2001,"AFG","Waste",2.05
"59",2001,"AFG","Industrial Processes",0.12
"60",2001,"AFG","Land-Use Change and Forestry",0.12
"61",2002,"AFG","Energy",2.29
"62",2002,"AFG","Agriculture",11.53
"63",2002,"AFG","Waste",2.15
"64",2002,"AFG","Industrial Processes",0.12
"65",2002,"AFG","Land-Use Change and Forestry",0.12
"66",2003,"AFG","Energy",2.51
