"","date","geo1","geo2","ngo1","ngo2"
"1",2021-02-28,2.13,2.37,NA,NA
"2",2021-03-01,2.5,2.37,NA,NA
"3",2021-03-02,2.74,2.67,NA,NA
"4",2021-03-03,2.75,2.67,NA,NA
"5",2021-03-04,2.74,2.67,NA,NA
"6",2021-03-07,2.73,2.67,NA,NA
"7",2021-03-08,2.67,2.68,NA,NA
"8",2021-03-09,2.57,2.65,NA,NA
"9",2021-03-10,2.57,2.65,NA,NA
"10",2021-03-11,2.63,2.65,NA,NA
"11",2021-03-14,2.63,2.65,NA,NA
"12",2021-03-15,2.59,2.62,NA,NA
"13",2021-03-16,2.59,2.62,NA,NA
"14",2021-03-17,2.59,2.62,NA,NA
"15",2021-03-18,2.46,2.39,NA,NA
"16",2021-03-21,2.46,2.39,NA,NA
"17",2021-03-22,2.46,2.44,NA,NA
"18",2021-03-23,2.46,2.44,NA,NA
"19",2021-03-24,2.39,2.4,NA,NA
"20",2021-03-25,2.39,2.4,NA,NA
"21",2021-03-28,2.32,2.37,NA,NA
"22",2021-03-29,2.32,2.37,NA,NA
"23",2021-03-30,2.32,2.35,NA,NA
"24",2021-03-31,2.32,2.35,NA,NA
"25",2021-04-01,2.32,2.35,NA,NA
"26",2021-04-05,2.23,2.27,NA,NA
"27",2021-04-06,2.2,2.2,NA,NA
"28",2021-04-07,2.2,2.2,NA,NA
"29",2021-04-08,2.2,2.2,NA,NA
"30",2021-04-11,2.2,2.2,NA,NA
"31",2021-04-12,2.2,2.2,NA,NA
"32",2021-04-13,2.15,2.15,NA,NA
"33",2021-04-14,1.92,2,NA,NA
"34",2021-04-15,2.11,2.12,NA,NA
"35",2021-04-18,2.11,2.12,NA,NA
"36",2021-04-19,2.16,2.18,NA,NA
"37",2021-04-20,2.14,2.15,NA,NA
"38",2021-04-21,2.14,2.15,NA,NA
"39",2021-04-22,2.14,2.15,NA,NA
"40",2021-04-25,2.1,2.11,NA,NA
"41",2021-04-26,1.95,2.04,NA,NA
"42",2021-04-27,1.95,2.04,NA,NA
"43",2021-04-28,1.95,2.04,NA,NA
"44",2021-04-29,1.95,2.04,NA,NA
"45",2021-05-02,1.95,1.98,NA,NA
"46",2021-05-03,2.01,2.03,NA,NA
"47",2021-05-04,2.01,2.03,NA,NA
"48",2021-05-05,2.01,2.03,NA,NA
"49",2021-05-06,2.01,2.03,NA,NA
"50",2021-05-09,2.01,2.03,NA,NA
"51",2021-05-10,2.01,2.03,NA,NA
"52",2021-05-11,2.07,2.09,NA,NA
"53",2021-05-12,2.07,2.09,NA,NA
"54",2021-05-13,2.12,2.14,NA,NA
"55",2021-05-16,2.12,2.14,NA,NA
"56",2021-05-17,2.12,2.14,NA,NA
"57",2021-05-18,2.12,2.14,NA,NA
"58",2021-05-19,2.16,2.16,NA,NA
"59",2021-05-20,2.16,2.16,NA,NA
"60",2021-05-23,2.16,2.16,NA,NA
"61",2021-05-24,2.16,2.16,NA,NA
"62",2021-05-25,2.2,2.22,NA,NA
"63",2021-05-26,2.24,2.24,NA,NA
"64",2021-05-27,2.25,2.25,NA,NA
"65",2021-05-30,2.35,2.36,NA,NA
"66",2021-06-01,2.35,2.36,NA,NA
"67",2021-06-02,2.4,2.41,NA,NA
"68",2021-06-03,2.42,2.43,NA,NA
"69",2021-06-06,2.42,2.43,NA,NA
"70",2021-06-07,2.42,2.43,NA,NA
"71",2021-06-08,2.42,2.43,NA,NA
"72",2021-06-09,2.46,2.49,NA,NA
"73",2021-06-10,2.55,2.56,NA,NA
"74",2021-06-13,2.55,2.57,NA,NA
"75",2021-06-14,2.55,2.56,NA,NA
"76",2021-06-15,2.58,2.59,NA,NA
"77",2021-06-16,2.72,2.72,NA,NA
"78",2021-06-17,2.72,2.72,NA,NA
"79",2021-06-20,2.72,2.77,NA,NA
"80",2021-06-21,2.9,2.82,NA,NA
"81",2021-06-22,2.75,2.82,NA,NA
"82",2021-06-23,2.82,2.88,NA,NA
"83",2021-06-24,2.82,2.88,NA,NA
"84",2021-06-27,2.9,2.9,NA,NA
"85",2021-06-28,2.93,2.93,NA,NA
"86",2021-06-29,2.93,2.94,NA,NA
"87",2021-06-30,2.96,2.97,NA,NA
"88",2021-07-01,3,3,NA,NA
"89",2021-07-04,3,3.05,NA,NA
"90",2021-07-06,2.98,2.98,NA,NA
"91",2021-07-07,2.96,2.97,NA,NA
"92",2021-07-08,2.96,2.97,NA,NA
"93",2021-07-11,2.93,2.99,NA,NA
"94",2021-07-12,2.92,3.05,NA,NA
"95",2021-07-13,3.01,3.09,NA,NA
"96",2021-07-14,3.05,3.09,NA,NA
"97",2021-07-15,3.06,3.1,NA,NA
"98",2021-07-18,3.1,3.1,NA,NA
"99",2021-07-19,2.93,3.1,NA,NA
"100",2021-07-20,3.12,3.19,NA,NA
"101",2021-07-21,3.12,3.19,NA,NA
"102",2021-07-22,3.1,3.17,NA,NA
"103",2021-07-25,3.17,3.19,NA,NA
"104",2021-07-26,3.2,3.2,NA,NA
"105",2021-07-27,3.2,3.2,NA,NA
"106",2021-07-28,3.25,3.27,NA,NA
"107",2021-07-29,3.28,3.3,NA,NA
"108",2021-08-01,3.4,3.45,5.35,5.44
"109",2021-08-02,3.45,3.46,5.35,5.36
"110",2021-08-03,3.55,3.54,5.46,5.42
"111",2021-08-04,3.67,3.66,5.55,5.52
"112",2021-08-05,3.81,3.81,5.98,5.97
"113",2021-08-08,3.84,3.83,5.98,5.98
"114",2021-08-09,4.09,4.1,6.44,6.45
"115",2021-08-10,4.18,4.17,6.3,6.3
"116",2021-08-11,4.37,4.39,6.56,6.57
"117",2021-08-12,5.09,5.12,6.92,6.92
"118",2021-08-15,5.55,5.57,7.39,7.42
"119",2021-08-16,5.43,5.45,7.38,7.39
"120",2021-08-17,5.39,5.4,7.4,7.4
"121",2021-08-18,5.31,5.31,7.16,7.18
