"","sector","year","co2e_emissions","sector_number"
"1","1. Energia",1990,196.118029805977,1
"2","1.A.   Atividades de Queima de Combustíveis (abordagem setorial)",1990,187.159158575815,1
"3","1.A.1.     Indústrias de Energia",1990,25.3071667664684,1
"4","1.A.1.a.       Produção de eletricidade e calor como atividade principal",1990,6.26321448078623,1
"5","1.A.1.b.       Refino de petróleo",1990,11.9948543431982,1
"6","1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia",1990,7.04909794248398,1
"7","1.A.2.     Indústrias de Transformação e Construção",1990,37.6325121453775,1
"8","1.A.2.a.       Ferro e aço",1990,4.73721437712415,1
"9","1.A.2.b.       Metais não ferrosos",1990,1.38135319174269,1
"10","1.A.2.c.       Produtos quimicos",1990,8.98686089609533,1
"11","1.A.2.d.       Celulose, papel e impressão",1990,2.69814485596505,1
"12","1.A.2.e.       Processamento de alimentos, bebidas e tabaco",1990,3.84288422968179,1
"13","1.A.2.f.       Minerais não metálicos",1990,7.80233696750468,1
"14","1.A.2.g.       Equipamentos de transporte",1990,4.08649214317921,1
"15","1.A.2.i.       Mineração (exceto combustíveis) e extração",1990,2.45842797326182,1
"16","1.A.2.l.       Têxtil e couro",1990,1.63879751082279,1
"17","1.A.3.     Transporte",1990,85.1948898458977,1
"18","1.A.3.a.ii.          Aviação doméstica",1990,5.18883634075988,1
"19","1.A.3.b.       Transporte rodoviário",1990,74.6791093400118,1
"20","1.A.3.c.       Transporte Ferroviário",1990,1.81031106660988,1
"21","1.A.3.d.ii.          Navegação doméstica",1990,3.51663309851607,1
"22","1.A.3.e.       Outros transportes",1990,0,1
"23","1.A.4.     Outros Setores",1990,37.4045464399998,1
"24","1.A.4.a.       Comercial / institucional",1990,2.73181229493926,1
"25","1.A.4.b.       Residencial",1990,23.7455570356363,1
"26","1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura",1990,10.9271771094243,1
"27","1.A.5.     Não Especificado",1990,1.62004337807185,1
"28","1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis",1990,8.95887123016211,1
"29","1.B.1.     Combustíveis sólidos",1990,1.55847501504,1
"30","1.B.2.     Petróleo e Gás Natural ",1990,7.40039621512211,1
"31","1.C.   Transporte e armazenamento de CO2",1990,NA,1
"32","2. Processos industriais e uso de produtos (IPPU)",1990,53.5026114489817,2
"33","2.A.   Indústria Mineral",1990,15.1706447515214,2
"34","2.A.1.     Produção de cimento",1990,11.0616788828154,2
"35","2.A.2.     Produção de cal",1990,3.50217687244095,2
"36","2.A.3.     Produção de vidro",1990,0.144540546936859,2
"37","2.A.4.     Outras utilizações de carbonatos em processos ",1990,0.462248449328246,2
"38","2.B.   Indústria Química",1990,8.37905486118743,2
"39","2.B.1.     Produção de amônia",1990,0.285957070115362,2
"40","2.B.10.      Outros produtos químicos",1990,0,2
"41","2.B.2.     Produção de ácido nítrico",1990,0.4786493807336,2
"42","2.B.3.     Produção de ácido adípico",1990,2.28609405,2
"43","2.B.4.     Caprolactama, glioxal e produção de ácido glioxílico",1990,0.100310715,2
"44","2.B.5.     Produção de carbureto",1990,0,2
"45","2.B.6.     Produção de dióxido de titânio",1990,0,2
"46","2.B.7.     Produção de carbonato de sódio",1990,0,2
