"","year","iso3c","sector","co2e_emissions"
"1",1970,"ABW","Power Industry",0.030964439968401
"2",1970,"ABW","Buildings",0.0325329375474635
"3",1970,"ABW","Transport",0.0039359040011692
"4",1970,"ABW","Other industrial combustion",0.001390771666034
"5",1970,"ABW","Other sectors",0.018557617421564
"6",1971,"ABW","Power Industry",0.0309644396284116
"7",1971,"ABW","Buildings",0.03253287034734
"8",1971,"ABW","Transport",0.0039359023278592
"9",1971,"ABW","Other industrial combustion",0.001390595526634
"10",1971,"ABW","Other sectors",0.019121459173598
"11",1972,"ABW","Power Industry",0.0304752190837408
"12",1972,"ABW","Buildings",0.0453742602521359
"13",1972,"ABW","Transport",0.0025585537528568
"14",1972,"ABW","Other industrial combustion",0.0014898170855812
"15",1972,"ABW","Other sectors",0.0192550944513641
"16",1973,"ABW","Power Industry",0.0343496342300508
"17",1973,"ABW","Buildings",0.0479834477483486
"18",1973,"ABW","Transport",0.0037010126842456
"19",1973,"ABW","Other industrial combustion",0.001636922826576
"20",1973,"ABW","Other sectors",0.0194525933525942
"21",1974,"ABW","Power Industry",0.0305966370834132
"22",1974,"ABW","Buildings",0.0360264706419635
"23",1974,"ABW","Transport",0.0040006753155639
"24",1974,"ABW","Other industrial combustion",0.0014885737371232
"25",1974,"ABW","Other sectors",0.0194899448345475
"26",1975,"ABW","Power Industry",0.038072085310469
"27",1975,"ABW","Buildings",0.0464227312141106
"28",1975,"ABW","Transport",0.00553654930317
"29",1975,"ABW","Other industrial combustion",0.0014912293390052
"30",1975,"ABW","Other sectors",0.0196233695095238
"31",1976,"ABW","Power Industry",0.040798760402911
"32",1976,"ABW","Buildings",0.0326780295985974
"33",1976,"ABW","Transport",0.0057255655779907
"34",1976,"ABW","Other industrial combustion",0.0013912732804472
"35",1976,"ABW","Other sectors",0.019597158459995
"36",1977,"ABW","Power Industry",0.042183911070342
"37",1977,"ABW","Buildings",0.0394303324332385
"38",1977,"ABW","Transport",0.0062255510794346
"39",1977,"ABW","Other industrial combustion",0.0018602807060652
"40",1977,"ABW","Other sectors",0.0196094640403578
"41",1978,"ABW","Power Industry",0.050256360629328
"42",1978,"ABW","Buildings",0.0345993231019448
"43",1978,"ABW","Transport",0.0062581706292127
"44",1978,"ABW","Other industrial combustion",0.0014546587190452
"45",1978,"ABW","Other sectors",0.0196189018491486
"46",1979,"ABW","Power Industry",0.043702906688578
"47",1979,"ABW","Buildings",0.0363970921439088
"48",1979,"ABW","Transport",0.005250115721445
"49",1979,"ABW","Other industrial combustion",0.00146291293399
"50",1979,"ABW","Other sectors",0.019552629759482
"51",1980,"ABW","Power Industry",0.0436965639098792
"52",1980,"ABW","Buildings",0.0323112475107005
"53",1980,"ABW","Transport",0.008723123734675
"54",1980,"ABW","Other industrial combustion",0.0016516516200816
"55",1980,"ABW","Other sectors",0.0196318579658598
"56",1981,"ABW","Power Industry",0.0408312786965564
"57",1981,"ABW","Buildings",0.0358807483563032
"58",1981,"ABW","Transport",0.00907318660682722
"59",1981,"ABW","Other industrial combustion",0.0015805497833056
"60",1981,"ABW","Other sectors",0.0198047112892496
"61",1982,"ABW","Power Industry",0.0401565151731126
"62",1982,"ABW","Buildings",0.0323797851896403
"63",1982,"ABW","Transport",0.0100450218972653
"64",1982,"ABW","Other industrial combustion",0.0014840680645992
"65",1982,"ABW","Other sectors",0.0200279466246656
"66",1983,"ABW","Power Industry",0.0403634966836046
"67",1983,"ABW","Buildings",0.0335067742946338
"68",1983,"ABW","Transport",0.0116199391807748
"69",1983,"ABW","Other industrial combustion",0.0016704721953256
"70",1983,"ABW","Other sectors",0.0203800649944392
"71",1984,"ABW","Power Industry",0.044604534828878
"72",1984,"ABW","Buildings",0.038959723438951
"73",1984,"ABW","Transport",0.0130895821892667
"74",1984,"ABW","Other industrial combustion",0.0016026203385868
"75",1984,"ABW","Other sectors",0.020686930803962
"76",1985,"ABW","Power Industry",0.0458144788282948
"77",1985,"ABW","Buildings",0.0352847523315116
"78",1985,"ABW","Transport",0.013204234611256
"79",1985,"ABW","Other industrial combustion",0.0012833761030384
"80",1985,"ABW","Other sectors",0.0208465321377934
"81",1986,"ABW","Power Industry",0.0450962303399614
"82",1986,"ABW","Buildings",0.0423438465158198
"83",1986,"ABW","Transport",0.0122736293940601
