"","year","iso3c","co2_emissions","cumulative_co2"
"1",1926,"ABW",0.033,0.033
"2",1927,"ABW",0.036,0.069
"3",1928,"ABW",0.083,0.152
"4",1929,"ABW",0.103,0.255
"5",1930,"ABW",0.135,0.39
"6",1931,"ABW",0.112,0.502
"7",1932,"ABW",0.109,0.611
"8",1933,"ABW",0.117,0.728
"9",1934,"ABW",0.129,0.857
"10",1935,"ABW",0.145,1.002
"11",1936,"ABW",0.158,1.16
"12",1937,"ABW",0.184,1.344
"13",1938,"ABW",0.199,1.543
"14",1939,"ABW",0.186,1.729
"15",1940,"ABW",0.15,1.879
"16",1941,"ABW",0.183,2.062
"17",1942,"ABW",0.107,2.169
"18",1943,"ABW",0.173,2.342
"19",1944,"ABW",0.216,2.558
"20",1945,"ABW",0.251,2.809
"21",1946,"ABW",0.282,3.091
"22",1947,"ABW",0.319,3.41
"23",1948,"ABW",0.327,3.737
"24",1950,"ABW",0.41,4.147
"25",1951,"ABW",0.646,4.793
"26",1952,"ABW",0.373,5.166
"27",1953,"ABW",0.432,5.598
"28",1954,"ABW",0.873,6.471
"29",1955,"ABW",0.722,7.193
"30",1956,"ABW",0.934,8.127
"31",1957,"ABW",0.638,8.765
"32",1958,"ABW",0.559,9.324
"33",1959,"ABW",0.719,10.043
"34",1960,"ABW",0.619,10.662
"35",1961,"ABW",0.646,11.308
"36",1962,"ABW",0.709,12.017
"37",1963,"ABW",0.679,12.696
"38",1964,"ABW",0.66,13.356
"39",1965,"ABW",0.592,13.948
"40",1966,"ABW",0.554,14.502
"41",1967,"ABW",0.682,15.184
"42",1968,"ABW",0.635,15.819
"43",1969,"ABW",0.83,16.649
"44",1970,"ABW",0.929,17.578
"45",1971,"ABW",0.808,18.386
"46",1972,"ABW",0.784,19.17
"47",1973,"ABW",0.869,20.039
"48",1974,"ABW",0.788,20.827
"49",1975,"ABW",0.571,21.398
"50",1976,"ABW",1.219,22.617
"51",1977,"ABW",0.637,23.254
"52",1978,"ABW",0.542,23.796
"53",1979,"ABW",0.569,24.365
"54",1980,"ABW",0.585,24.95
"55",1981,"ABW",0.558,25.508
"56",1982,"ABW",0.623,26.131
"57",1983,"ABW",0.32,26.451
"58",1984,"ABW",0.8,27.251
"59",1985,"ABW",0.937,28.188
"60",1986,"ABW",0.18,28.368
"61",1987,"ABW",0.447,28.815
"62",1988,"ABW",0.612,29.427
"63",1989,"ABW",0.649,30.076
"64",1990,"ABW",0.487,30.563
"65",1991,"ABW",0.531,31.094
"66",1992,"ABW",0.539,31.633
"67",1993,"ABW",0.649,32.282
"68",1994,"ABW",0.66,32.942
"69",1995,"ABW",0.707,33.649
"70",1996,"ABW",0.725,34.374
"71",1997,"ABW",0.758,35.132
"72",1998,"ABW",0.806,35.938
"73",1999,"ABW",0.81,36.748
"74",2000,"ABW",2.378,39.126
"75",2001,"ABW",2.407,41.533
"76",2002,"ABW",2.437,43.97
"77",2003,"ABW",2.561,46.531
"78",2004,"ABW",2.616,49.147
"79",2005,"ABW",2.719,51.866
"80",2006,"ABW",2.715,54.581
"81",2007,"ABW",2.821,57.402
"82",2008,"ABW",2.656,60.058
"83",2009,"ABW",2.627,62.685
"84",2010,"ABW",2.506,65.191
"85",2011,"ABW",2.499,67.69
"86",2012,"ABW",1.348,69.038
"87",2013,"ABW",0.861,69.899
"88",2014,"ABW",0.872,70.771
"89",2015,"ABW",0.898,71.669
"90",2016,"ABW",0.883,72.552
"91",2017,"ABW",0.89,73.442
"92",2018,"ABW",0.872,74.314
"93",2019,"ABW",0.851,75.165
"94",2020,"ABW",0.753,75.918
"95",1949,"AFG",0.015,0.015
"96",1950,"AFG",0.084,0.099
"97",1951,"AFG",0.092,0.191
"98",1952,"AFG",0.092,0.283
"99",1953,"AFG",0.106,0.389
"100",1954,"AFG",0.106,0.495
"101",1955,"AFG",0.154,0.649
"102",1956,"AFG",0.183,0.832
"103",1957,"AFG",0.293,1.125
"104",1958,"AFG",0.33,1.455
"105",1959,"AFG",0.385,1.84
"106",1960,"AFG",0.414,2.254
"107",1961,"AFG",0.491,2.745
"108",1962,"AFG",0.689,3.434
"109",1963,"AFG",0.707,4.141
"110",1964,"AFG",0.839,4.98
"111",1965,"AFG",1.007,5.987
"112",1966,"AFG",1.091,7.078
"113",1967,"AFG",1.282,8.36
"114",1968,"AFG",1.223,9.583
"115",1969,"AFG",0.941,10.524
"116",1970,"AFG",1.67,12.194
"117",1971,"AFG",1.894,14.088
"118",1972,"AFG",1.53,15.618
"119",1973,"AFG",1.635,17.253
"120",1974,"AFG",1.913,19.166
"121",1975,"AFG",2.121,21.287
"122",1976,"AFG",1.981,23.268
"123",1977,"AFG",2.384,25.652
"124",1978,"AFG",2.153,27.805
"125",1979,"AFG",2.233,30.038
"126",1980,"AFG",1.756,31.794
"127",1981,"AFG",1.978,33.772
"128",1982,"AFG",2.095,35.867
"129",1983,"AFG",2.52,38.387
"130",1984,"AFG",2.822,41.209
"131",1985,"AFG",3.501,44.71
"132",1986,"AFG",3.134,47.844
"133",1987,"AFG",3.114,50.958
"134",1988,"AFG",2.857,53.815
"135",1989,"AFG",2.765,56.58
"136",1990,"AFG",2.603,59.183
"137",1991,"AFG",2.427,61.61
"138",1992,"AFG",1.379,62.989
"139",1993,"AFG",1.333,64.322
"140",1994,"AFG",1.282,65.604
"141",1995,"AFG",1.23,66.834
"142",1996,"AFG",1.165,67.999
"143",1997,"AFG",1.084,69.083
"144",1998,"AFG",1.029,70.112
"145",1999,"AFG",0.81,70.922
"146",2000,"AFG",0.758,71.68
"147",2001,"AFG",0.798,72.478
"148",2002,"AFG",1.052,73.53
"149",2003,"AFG",1.186,74.716
"150",2004,"AFG",0.889,75.605
"151",2005,"AFG",1.303,76.908
"152",2006,"AFG",1.635,78.543
"153",2007,"AFG",2.269,80.812
"154",2008,"AFG",4.2,85.012
"155",2009,"AFG",6.74,91.752
"156",2010,"AFG",8.398,100.15
"157",2011,"AFG",12.106,112.256
"158",2012,"AFG",10.219,122.475
"159",2013,"AFG",8.441,130.916
"160",2014,"AFG",7.774,138.69
"161",2015,"AFG",7.904,146.594
"162",2016,"AFG",6.745,153.339
"163",2017,"AFG",6.86,160.199
"164",2018,"AFG",8.345,168.544
"165",2019,"AFG",12.147,180.691
"166",2020,"AFG",12.16,192.851
"167",1950,"AGO",0.187,0.187
"168",1951,"AGO",0.249,0.436
"169",1952,"AGO",0.311,0.747
"170",1953,"AGO",0.275,1.022
"171",1954,"AGO",0.348,1.37
"172",1955,"AGO",0.414,1.784
"173",1956,"AGO",0.502,2.286
"174",1957,"AGO",0.619,2.905
"175",1958,"AGO",0.593,3.498
"176",1959,"AGO",0.619,4.117
"177",1960,"AGO",0.549,4.666
"178",1961,"AGO",0.454,5.12
"179",1962,"AGO",1.179,6.299
"180",1963,"AGO",1.15,7.449
"181",1964,"AGO",1.223,8.672
"182",1965,"AGO",1.186,9.858
"183",1966,"AGO",1.552,11.41
"184",1967,"AGO",0.992,12.402
"185",1968,"AGO",1.67,14.072
"186",1969,"AGO",2.783,16.855
"187",1970,"AGO",3.578,20.433
"188",1971,"AGO",3.405,23.838
"189",1972,"AGO",4.501,28.339
"190",1973,"AGO",4.874,33.213
"191",1974,"AGO",4.866,38.079
"192",1975,"AGO",4.409,42.488
"193",1976,"AGO",3.28,45.768
"194",1977,"AGO",3.528,49.296
"195",1978,"AGO",5.4,54.696
"196",1979,"AGO",5.489,60.185
"197",1980,"AGO",5.334,65.519
"198",1981,"AGO",5.267,70.786
"199",1982,"AGO",4.635,75.421
"200",1983,"AGO",5.101,80.522
"201",1984,"AGO",4.986,85.508
"202",1985,"AGO",4.676,90.184
"203",1986,"AGO",4.634,94.818
"204",1987,"AGO",5.786,100.604
"205",1988,"AGO",5.049,105.653
"206",1989,"AGO",4.923,110.576
"207",1990,"AGO",5.09,115.666
"208",1991,"AGO",5.064,120.73
"209",1992,"AGO",5.164,125.894
"210",1993,"AGO",5.748,131.642
"211",1994,"AGO",3.865,135.507
"212",1995,"AGO",10.949,146.456
"213",1996,"AGO",10.424,156.88
"214",1997,"AGO",7.348,164.228
"215",1998,"AGO",7.268,171.496
"216",1999,"AGO",9.13,180.626
"217",2000,"AGO",9.516,190.142
"218",2001,"AGO",9.671,199.813
"219",2002,"AGO",12.598,212.411
"220",2003,"AGO",8.989,221.4
"221",2004,"AGO",18.701,240.101
"222",2005,"AGO",19.006,259.107
"223",2006,"AGO",22.102,281.209
"224",2007,"AGO",24.977,306.186
"225",2008,"AGO",25.486,331.672
"226",2009,"AGO",27.565,359.237
"227",2010,"AGO",28.865,388.102
"228",2011,"AGO",30.33,418.432
"229",2012,"AGO",33.801,452.233
"230",2013,"AGO",33.229,485.462
"231",2014,"AGO",33.296,518.758
"232",2015,"AGO",33.621,552.379
"233",2016,"AGO",31.404,583.783
"234",2017,"AGO",28.42,612.203
"235",2018,"AGO",24.376,636.579
"236",2019,"AGO",23.487,660.066
"237",2020,"AGO",22.198,682.264
"238",1990,"AIA",0.051,0.051
"239",1991,"AIA",0.051,0.102
"240",1992,"AIA",0.055,0.157
"241",1993,"AIA",0.066,0.223
"242",1994,"AIA",0.066,0.289
"243",1995,"AIA",0.066,0.355
"244",1996,"AIA",0.07,0.425
"245",1997,"AIA",0.07,0.495
"246",1998,"AIA",0.077,0.572
