"","year","iso3c","gdp","continent"
"1",1960,"ABW",NA,"Americas"
"2",1960,"AFG",NA,"Asia"
"3",1960,"AGO",NA,"Africa"
"4",1960,"ALB",NA,"Europe"
"5",1960,"AND",NA,"Europe"
"6",1960,"ARE",NA,"Asia"
"7",1960,"ARG",150797810292.95,"Americas"
"8",1960,"ARM",NA,"Asia"
"9",1960,"ASM",NA,"Oceania"
"10",1960,"ATG",NA,"Americas"
"11",1960,"AUS",205048666020.255,"Oceania"
"12",1960,"AZE",NA,"Asia"
"13",1960,"BDI",798636603.011911,"Africa"
"14",1960,"BEN",1651120625.57515,"Africa"
"15",1960,"BFA",1166782782.04356,"Africa"
"16",1960,"BGD",22247412282.0175,"Asia"
"17",1960,"BHR",NA,"Asia"
"18",1960,"BHS",2201671025.03956,"Americas"
"19",1960,"BIH",NA,"Europe"
"20",1960,"BLR",NA,"Europe"
"21",1960,"BLZ",110027507.628303,"Americas"
"22",1960,"BMU",1684353374.02034,"Americas"
"23",1960,"BOL",4727739741.05478,"Americas"
"24",1960,"BRA",188463840495.972,"Americas"
"25",1960,"BRB",NA,"Americas"
"26",1960,"BRN",NA,"Asia"
"27",1960,"BTN",NA,"Asia"
"28",1960,"BWA",179758844.164138,"Africa"
"29",1960,"CAF",980371510.422875,"Africa"
"30",1960,"CAN",NA,"Americas"
"31",1960,"CHE",NA,"Europe"
"32",1960,"CHL",27084687058.6456,"Americas"
"33",1960,"CHN",158907168211.118,"Asia"
"34",1960,"CIV",5492745871.29276,"Africa"
"35",1960,"CMR",4827329385.34254,"Africa"
"36",1960,"COD",19168014544.7984,"Africa"
"37",1960,"COG",1253554927.82093,"Africa"
"38",1960,"COL",30606244192.4871,"Americas"
"39",1960,"COM",NA,"Africa"
"40",1960,"CPV",NA,"Africa"
"41",1960,"CRI",4791476003.9351,"Americas"
"42",1960,"CUB",NA,"Americas"
"43",1960,"CUW",NA,"Americas"
"44",1960,"CYM",NA,"Americas"
"45",1960,"DJI",NA,"Africa"
"46",1960,"DMA",NA,"Americas"
"47",1960,"DOM",4530917897.60594,"Americas"
"48",1960,"DZA",23999022855.823,"Africa"
"49",1960,"ECU",11683345571.6281,"Americas"
"50",1960,"EGY",20297834750.3396,"Africa"
"51",1960,"ERI",NA,"Africa"
"52",1960,"ETH",NA,"Africa"
"53",1960,"EUR",1894317276650.08,"Europe"
"54",1960,"FJI",864446541.413121,"Oceania"
"55",1960,"FRO",NA,"Europe"
"56",1960,"FSM",NA,"Oceania"
"57",1960,"GAB",1696430396.42149,"Africa"
"58",1960,"GBR",781539751882.686,"Europe"
"59",1960,"GEO",NA,"Asia"
"60",1960,"GHA",7657961446.37955,"Africa"
"61",1960,"GIB",NA,"Europe"
"62",1960,"GIN",NA,"Africa"
