"","year","iso3c","gdp","continent"
"1",1960,"ABW",NA,"Americas"
"2",1960,"AFG",NA,"Asia"
"3",1960,"AGO",NA,"Africa"
"4",1960,"ALB",NA,"Europe"
"5",1960,"AND",NA,"Europe"
"6",1960,"ARE",NA,"Asia"
"7",1960,"ARG",150797810292.95,"Americas"
"8",1960,"ARM",NA,"Asia"
"9",1960,"ASM",NA,"Oceania"
"10",1960,"ATG",NA,"Americas"
"11",1960,"AUS",205048666020.255,"Oceania"
"12",1960,"AUT",84896808897.8958,"Europe"
"13",1960,"AZE",NA,"Asia"
"14",1960,"BDI",798636603.011911,"Africa"
"15",1960,"BEL",107366655198.619,"Europe"
"16",1960,"BEN",1651120625.57515,"Africa"
"17",1960,"BFA",1166782782.04356,"Africa"
"18",1960,"BGD",22247412282.0175,"Asia"
"19",1960,"BGR",NA,"Europe"
"20",1960,"BHR",NA,"Asia"
"21",1960,"BHS",2201671025.03956,"Americas"
"22",1960,"BIH",NA,"Europe"
"23",1960,"BLR",NA,"Europe"
"24",1960,"BLZ",110027507.628303,"Americas"
"25",1960,"BMU",1684353374.02034,"Americas"
"26",1960,"BOL",4727739741.05478,"Americas"
"27",1960,"BRA",188463840495.972,"Americas"
"28",1960,"BRB",NA,"Americas"
"29",1960,"BRN",NA,"Asia"
"30",1960,"BTN",NA,"Asia"
"31",1960,"BWA",179758844.164138,"Africa"
"32",1960,"CAF",980371510.422875,"Africa"
"33",1960,"CAN",NA,"Americas"
"34",1960,"CHE",NA,"Europe"
"35",1960,"CHL",27084687058.6456,"Americas"
"36",1960,"CHN",158907168211.118,"Asia"
"37",1960,"CIV",5492745871.29276,"Africa"
"38",1960,"CMR",4827329385.34254,"Africa"
"39",1960,"COD",19168014544.7984,"Africa"
"40",1960,"COG",1253554927.82093,"Africa"
"41",1960,"COL",30606244192.4871,"Americas"
"42",1960,"COM",NA,"Africa"
"43",1960,"CPV",NA,"Africa"
"44",1960,"CRI",4791476003.9351,"Americas"
"45",1960,"CUB",NA,"Americas"
"46",1960,"CUW",NA,"Americas"
"47",1960,"CYM",NA,"Americas"
"48",1960,"CYP",NA,"Asia"
"49",1960,"CZE",NA,"Europe"
"50",1960,"DEU",NA,"Europe"
"51",1960,"DJI",NA,"Africa"
"52",1960,"DMA",NA,"Americas"
"53",1960,"DNK",82924593126.7102,"Europe"
"54",1960,"DOM",4530917897.60594,"Americas"
"55",1960,"DZA",23999022855.823,"Africa"
"56",1960,"ECU",11683345571.6281,"Americas"
"57",1960,"EGY",20297834750.3396,"Africa"
"58",1960,"ERI",NA,"Africa"
"59",1960,"ESP",189202824887.394,"Europe"
"60",1960,"EST",NA,"Europe"
"61",1960,"ETH",NA,"Africa"
"62",1960,"FIN",50589519083.7226,"Europe"
