"","id_immediate_region","name_immediate_region","id_municipality","code_state"
"1",110005,"Cacoal",1100015,"RO"
"2",110005,"Cacoal",1100379,"RO"
"3",110002,"Ariquemes",1100403,"RO"
"4",110004,"Ji-Paraná",1100346,"RO"
"5",110002,"Ariquemes",1100023,"RO"
"6",110002,"Ariquemes",1100452,"RO"
"7",110006,"Vilhena",1100031,"RO"
"8",110002,"Ariquemes",1100601,"RO"
"9",110005,"Cacoal",1100049,"RO"
"10",110002,"Ariquemes",1100700,"RO"
"11",110001,"Porto Velho",1100809,"RO"
"12",110005,"Cacoal",1100908,"RO"
"13",110006,"Vilhena",1100056,"RO"
"14",110006,"Vilhena",1100924,"RO"
"15",110006,"Vilhena",1100064,"RO"
"16",110006,"Vilhena",1100072,"RO"
"17",110004,"Ji-Paraná",1100080,"RO"
"18",110002,"Ariquemes",1100940,"RO"
"19",110005,"Cacoal",1100098,"RO"
"20",110003,"Jaru",1101005,"RO"
"21",110001,"Porto Velho",1100106,"RO"
"22",110001,"Porto Velho",1101104,"RO"
"23",110003,"Jaru",1100114,"RO"
"24",110004,"Ji-Paraná",1100122,"RO"
"25",110003,"Jaru",1100130,"RO"
"26",110005,"Cacoal",1101203,"RO"
"27",110004,"Ji-Paraná",1101302,"RO"
"28",110002,"Ariquemes",1101401,"RO"
"29",110005,"Cacoal",1100148,"RO"
"30",110001,"Porto Velho",1100338,"RO"
"31",110004,"Ji-Paraná",1101435,"RO"
"32",110005,"Cacoal",1100502,"RO"
"33",110004,"Ji-Paraná",1100155,"RO"
"34",110005,"Cacoal",1101450,"RO"
"35",110005,"Cacoal",1100189,"RO"
"36",110006,"Vilhena",1101468,"RO"
"37",110001,"Porto Velho",1100205,"RO"
"38",110004,"Ji-Paraná",1100254,"RO"
"39",110005,"Cacoal",1101476,"RO"
"40",110002,"Ariquemes",1100262,"RO"
"41",110005,"Cacoal",1100288,"RO"
"42",110005,"Cacoal",1100296,"RO"
"43",110005,"Cacoal",1101484,"RO"
"44",110004,"Ji-Paraná",1101492,"RO"
"45",110004,"Ji-Paraná",1100320,"RO"
"46",110004,"Ji-Paraná",1101500,"RO"
"47",110004,"Ji-Paraná",1101559,"RO"
"48",110003,"Jaru",1101609,"RO"
"49",110004,"Ji-Paraná",1101708,"RO"
"50",110003,"Jaru",1101757,"RO"
"51",110004,"Ji-Paraná",1101807,"RO"
"52",110006,"Vilhena",1100304,"RO"
