"","date","inflation_index"
"1",1995-12-01,1244.23
"2",1996-01-01,1260.9
"3",1996-02-01,1273.89
"4",1996-03-01,1278.35
"5",1996-04-01,1294.46
"6",1996-05-01,1310.25
"7",1996-06-01,1325.84
"8",1996-07-01,1340.56
"9",1996-08-01,1346.46
"10",1996-09-01,1348.48
"11",1996-10-01,1352.53
"12",1996-11-01,1356.86
"13",1996-12-01,1363.24
"14",1997-01-01,1379.33
"15",1997-02-01,1386.23
"16",1997-03-01,1393.3
"17",1997-04-01,1405.56
"18",1997-05-01,1411.32
"19",1997-06-01,1418.94
"20",1997-07-01,1422.06
"21",1997-08-01,1421.78
"22",1997-09-01,1422.63
"23",1997-10-01,1425.9
"24",1997-11-01,1428.32
"25",1997-12-01,1434.46
"26",1998-01-01,1444.64
"27",1998-02-01,1451.29
"28",1998-03-01,1456.22
"29",1998-04-01,1459.71
"30",1998-05-01,1467.01
"31",1998-06-01,1467.3
"32",1998-07-01,1465.54
"33",1998-08-01,1458.07
"34",1998-09-01,1454.86
"35",1998-10-01,1455.15
"36",1998-11-01,1453.4
"37",1998-12-01,1458.2
"38",1999-01-01,1468.41
"39",1999-02-01,1483.83
"40",1999-03-01,1500.15
"41",1999-04-01,1508.55
"42",1999-05-01,1513.08
"43",1999-06-01,1515.95
"44",1999-07-01,1532.47
"45",1999-08-01,1541.05
"46",1999-09-01,1545.83
"47",1999-10-01,1564.23
"48",1999-11-01,1579.09
"49",1999-12-01,1588.56
"50",2000-01-01,1598.41
"51",2000-02-01,1600.49
"52",2000-03-01,1604.01
"53",2000-04-01,1610.75
"54",2000-05-01,1610.91
"55",2000-06-01,1614.62
"56",2000-07-01,1640.62
"57",2000-08-01,1662.11
"58",2000-09-01,1665.93
"59",2000-10-01,1668.26
"60",2000-11-01,1673.6
"61",2000-12-01,1683.47
"62",2001-01-01,1693.07
"63",2001-02-01,1700.86
"64",2001-03-01,1707.32
"65",2001-04-01,1717.22
"66",2001-05-01,1724.26
"67",2001-06-01,1733.23
"68",2001-07-01,1756.28
"69",2001-08-01,1768.57
"70",2001-09-01,1773.52
"71",2001-10-01,1788.24
"72",2001-11-01,1800.94
"73",2001-12-01,1812.65
"74",2002-01-01,1822.08
"75",2002-02-01,1828.64
"76",2002-03-01,1839.61
"77",2002-04-01,1854.33
"78",2002-05-01,1858.22
"79",2002-06-01,1866.02
"80",2002-07-01,1888.23
"81",2002-08-01,1900.5
"82",2002-09-01,1914.18
"83",2002-10-01,1939.26
"84",2002-11-01,1997.83
"85",2002-12-01,2039.78
"86",2003-01-01,2085.68
"87",2003-02-01,2118.43
"88",2003-03-01,2144.49
"89",2003-04-01,2165.29
"90",2003-05-01,2178.5
"91",2003-06-01,2175.23
"92",2003-07-01,2179.58
"93",2003-08-01,2186.99
"94",2003-09-01,2204.05
"95",2003-10-01,2210.44
"96",2003-11-01,2217.96
"97",2003-12-01,2229.49
"98",2004-01-01,2246.43
"99",2004-02-01,2260.13
"100",2004-03-01,2270.75
"101",2004-04-01,2279.15
"102",2004-05-01,2290.77
"103",2004-06-01,2307.03
"104",2004-07-01,2328.02
"105",2004-08-01,2344.08
"106",2004-09-01,2351.82
"107",2004-10-01,2362.17
"108",2004-11-01,2378.47
"109",2004-12-01,2398.92
"110",2005-01-01,2412.83
"111",2005-02-01,2427.07
"112",2005-03-01,2441.87
"113",2005-04-01,2463.11
"114",2005-05-01,2475.18
"115",2005-06-01,2474.68
"116",2005-07-01,2480.87
"117",2005-08-01,2485.09
"118",2005-09-01,2493.79
"119",2005-10-01,2512.49
"120",2005-11-01,2526.31
"121",2005-12-01,2535.4
"122",2006-01-01,2550.36
"123",2006-02-01,2560.82
"124",2006-03-01,2571.83
"125",2006-04-01,2577.23
"126",2006-05-01,2579.81
"127",2006-06-01,2574.39
"128",2006-07-01,2579.28
"129",2006-08-01,2580.57
"130",2006-09-01,2585.99
"131",2006-10-01,2594.52
"132",2006-11-01,2602.56
"133",2006-12-01,2615.05
"134",2007-01-01,2626.56
"135",2007-02-01,2638.12
"136",2007-03-01,2647.88
"137",2007-04-01,2654.5
"138",2007-05-01,2661.93
"139",2007-06-01,2669.38
"140",2007-07-01,2675.79
"141",2007-08-01,2688.37
"142",2007-09-01,2693.21
"143",2007-10-01,2701.29
"144",2007-11-01,2711.55
"145",2007-12-01,2731.62
"146",2008-01-01,2746.37
"147",2008-02-01,2759.83
"148",2008-03-01,2773.08
"149",2008-04-01,2788.33
"150",2008-05-01,2810.36
"151",2008-06-01,2831.16
"152",2008-07-01,2846.16
"153",2008-08-01,2854.13
"154",2008-09-01,2861.55
"155",2008-10-01,2874.43
"156",2008-11-01,2884.78
"157",2008-12-01,2892.86
"158",2009-01-01,2906.74
"159",2009-02-01,2922.73
"160",2009-03-01,2928.57
"161",2009-04-01,2942.63
"162",2009-05-01,2956.46
"163",2009-06-01,2967.1
"164",2009-07-01,2974.22
"165",2009-08-01,2978.68
"166",2009-09-01,2985.83
"167",2009-10-01,2994.19
"168",2009-11-01,3006.47
"169",2009-12-01,3017.59
"170",2010-01-01,3040.22
"171",2010-02-01,3063.93
"172",2010-03-01,3079.86
"173",2010-04-01,3097.42
"174",2010-05-01,3110.74
"175",2010-06-01,3110.74
"176",2010-07-01,3111.05
"177",2010-08-01,3112.29
"178",2010-09-01,3126.29
"179",2010-10-01,3149.74
"180",2010-11-01,3175.88
"181",2010-12-01,3195.89
"182",2011-01-01,3222.42
"183",2011-02-01,3248.2
"184",2011-03-01,3273.86
"185",2011-04-01,3299.07
"186",2011-05-01,3314.58
"187",2011-06-01,3319.55
"188",2011-07-01,3324.86
"189",2011-08-01,3337.16
"190",2011-09-01,3354.85
"191",2011-10-01,3369.28
"192",2011-11-01,3386.8
"193",2011-12-01,3403.73
"194",2012-01-01,3422.79
"195",2012-02-01,3438.19
"196",2012-03-01,3445.41
"197",2012-04-01,3467.46
"198",2012-05-01,3479.94
"199",2012-06-01,3482.72
"200",2012-07-01,3497.7
"201",2012-08-01,3512.04
"202",2012-09-01,3532.06
"203",2012-10-01,3552.9
"204",2012-11-01,3574.22
"205",2012-12-01,3602.46
"206",2013-01-01,3633.44
"207",2013-02-01,3655.24
"208",2013-03-01,3672.42
"209",2013-04-01,3692.62
"210",2013-05-01,3706.28
"211",2013-06-01,3715.92
"212",2013-07-01,3717.03
"213",2013-08-01,3725.95
"214",2013-09-01,3738.99
"215",2013-10-01,3760.3
"216",2013-11-01,3780.61
"217",2013-12-01,3815.39
"218",2014-01-01,3836.37
"219",2014-02-01,3862.84
"220",2014-03-01,3898.38
"221",2014-04-01,3924.5
"222",2014-05-01,3942.55
"223",2014-06-01,3958.32
"224",2014-07-01,3958.72
"225",2014-08-01,3968.62
"226",2014-09-01,3991.24
"227",2014-10-01,4008
"228",2014-11-01,4028.44
"229",2014-12-01,4059.86
"230",2015-01-01,4110.2
"231",2015-02-01,4160.34
"232",2015-03-01,4215.26
