"","year","cumulative_inflation"
"1",1996,4.4100166547704
"2",1997,4.03137030297318
"3",1998,3.84911811939307
"4",1999,3.78681022330276
"5",2000,3.47882583317171
"6",2001,3.28432374325929
"7",2002,3.0517814805058
"8",2003,2.66608012734456
"9",2004,2.47530081061952
"10",2005,2.30459253242044
"11",2006,2.18031572013363
"12",2007,2.11706186038012
"13",2008,2.02470533831931
"14",2009,1.91299875461858
"15",2010,1.82900908486886
"16",2011,1.7255944290316
"17",2012,1.62457819498129
"18",2013,1.53039268571932
"19",2014,1.44944048671009
"20",2015,1.35287577246849
"21",2016,1.22204591855796
"22",2017,1.15994242623361
"23",2018,1.12774402115715
"24",2019,1.08670433248061
"25",2020,1.04298479579549
