"","id_municipality","id_municipality_6n"
"1",1100015,110001
"2",1100379,110037
"3",1100403,110040
"4",1100346,110034
"5",1100023,110002
"6",1100452,110045
"7",1100031,110003
"8",1100601,110060
"9",1100049,110004
"10",1100700,110070
"11",1100809,110080
"12",1100908,110090
"13",1100056,110005
"14",1100924,110092
"15",1100064,110006
"16",1100072,110007
"17",1100080,110008
"18",1100940,110094
"19",1100098,110009
"20",1101005,110100
"21",1100106,110010
"22",1101104,110110
"23",1100114,110011
"24",1100122,110012
"25",1100130,110013
"26",1101203,110120
"27",1101302,110130
"28",1101401,110140
"29",1100148,110014
"30",1100338,110033
"31",1101435,110143
"32",1100502,110050
"33",1100155,110015
"34",1101450,110145
"35",1100189,110018
"36",1101468,110146
"37",1100205,110020
"38",1100254,110025
"39",1101476,110147
"40",1100262,110026
"41",1100288,110028
"42",1100296,110029
"43",1101484,110148
"44",1101492,110149
"45",1100320,110032
"46",1101500,110150
"47",1101559,110155
"48",1101609,110160
"49",1101708,110170
"50",1101757,110175
"51",1101807,110180
"52",1100304,110030
"53",1200013,120001
"54",1200054,120005
"55",1200104,120010
"56",1200138,120013
"57",1200179,120017
"58",1200203,120020
"59",1200252,120025
"60",1200302,120030
"61",1200328,120032
"62",1200336,120033
"63",1200344,120034
"64",1200351,120035
"65",1200385,120038
"66",1200807,120080
"67",1200393,120039
"68",1200401,120040
"69",1200427,120042
"70",1200435,120043
"71",1200500,120050
"72",1200450,120045
"73",1200609,120060
"74",1200708,120070
"75",1300029,130002
"76",1300060,130006
"77",1300086,130008
"78",1300102,130010
"79",1300144,130014
"80",1300201,130020
"81",1300300,130030
"82",1300409,130040
"83",1300508,130050
"84",1300607,130060
"85",1300631,130063
"86",1300680,130068
"87",1300706,130070
"88",1300805,130080
"89",1300839,130083
"90",1300904,130090
"91",1301001,130100
"92",1301100,130110
"93",1301159,130115
"94",1301209,130120
"95",1301308,130130
"96",1301407,130140
"97",1301506,130150
"98",1301605,130160
"99",1301654,130165
"100",1301704,130170
"101",1301803,130180
"102",1301852,130185
"103",1301902,130190
"104",1301951,130195
"105",1302009,130200
"106",1302108,130210
"107",1302207,130220
"108",1302306,130230
"109",1302405,130240
"110",1302504,130250
"111",1302553,130255
"112",1302603,130260
"113",1302702,130270
"114",1302801,130280
"115",1302900,130290
"116",1303007,130300
"117",1303106,130310
"118",1303205,130320
"119",1303304,130330
"120",1303403,130340
"121",1303502,130350
"122",1303536,130353
"123",1303569,130356
"124",1303601,130360
"125",1303700,130370
"126",1303809,130380
"127",1303908,130390
"128",1303957,130395
"129",1304005,130400
"130",1304062,130406
"131",1304104,130410
"132",1304203,130420
"133",1304237,130423
"134",1304260,130426
"135",1304302,130430
"136",1304401,130440
"137",1400050,140005
"138",1400027,140002
"139",1400100,140010
"140",1400159,140015
"141",1400175,140017
"142",1400209,140020
"143",1400233,140023
"144",1400282,140028
"145",1400308,140030
"146",1400407,140040
"147",1400456,140045
"148",1400472,140047
"149",1400506,140050
"150",1400605,140060
"151",1400704,140070
"152",1500107,150010
"153",1500131,150013
"154",1500206,150020
"155",1500305,150030
"156",1500347,150034
"157",1500404,150040
"158",1500503,150050
"159",1500602,150060
"160",1500701,150070
"161",1500800,150080
"162",1500859,150085
"163",1500909,150090
"164",1500958,150095
"165",1501006,150100
"166",1501105,150110
"167",1501204,150120
"168",1501253,150125
"169",1501303,150130
"170",1501402,150140
"171",1501451,150145
"172",1501501,150150
"173",1501576,150157
"174",1501600,150160
"175",1501709,150170
"176",1501725,150172
"177",1501758,150175
"178",1501782,150178
"179",1501808,150180
"180",1501907,150190
"181",1502004,150200
"182",1501956,150195
"183",1502103,150210
"184",1502152,150215
"185",1502202,150220
"186",1502301,150230
"187",1502400,150240
"188",1502509,150250
"189",1502608,150260
"190",1502707,150270
"191",1502756,150275
"192",1502764,150276
"193",1502772,150277
"194",1502806,150280
"195",1502855,150285
"196",1502905,150290
"197",1502939,150293
"198",1502954,150295
"199",1503002,150300
"200",1503044,150304
"201",1503077,150307
"202",1503093,150309
"203",1503101,150310
"204",1503200,150320
"205",1503309,150330
"206",1503408,150340
"207",1503457,150345
"208",1503507,150350
"209",1503606,150360
"210",1503705,150370
"211",1503754,150375
"212",1503804,150380
"213",1503903,150390
"214",1504000,150400
"215",1504059,150405
"216",1504109,150410
"217",1504208,150420
"218",1504307,150430
"219",1504406,150440
"220",1504422,150442
"221",1504455,150445
"222",1504505,150450
"223",1504604,150460
"224",1504703,150470
"225",1504752,150475
"226",1504802,150480
"227",1504901,150490
"228",1504950,150495
"229",1504976,150497
"230",1505007,150500
"231",1505031,150503
"232",1505064,150506
"233",1505106,150510
"234",1505205,150520
"235",1505304,150530
"236",1505403,150540
"237",1505437,150543
"238",1505486,150548
"239",1505494,150549
"240",1505502,150550
"241",1505536,150553
"242",1505551,150555
"243",1505601,150560
"244",1505635,150563
"245",1505650,150565
"246",1505700,150570
"247",1505809,150580
"248",1505908,150590
"249",1506005,150600
"250",1506104,150610
"251",1506112,150611
"252",1506138,150613
"253",1506161,150616
"254",1506187,150618
"255",1506195,150619
"256",1506203,150620
"257",1506302,150630
"258",1506351,150635
"259",1506401,150640
"260",1506500,150650
"261",1506559,150655
"262",1506583,150658
"263",1506609,150660
"264",1506708,150670
"265",1506807,150680
"266",1506906,150690
"267",1507003,150700
"268",1507102,150710
"269",1507151,150715
"270",1507201,150720
"271",1507300,150730
"272",1507409,150740
"273",1507458,150745
"274",1507466,150746
"275",1507474,150747
"276",1507508,150750
"277",1507607,150760
"278",1507706,150770
"279",1507755,150775
"280",1507805,150780
"281",1507904,150790
"282",1507953,150795
"283",1507961,150796
"284",1507979,150797
"285",1508001,150800
"286",1508035,150803
"287",1508050,150805
"288",1508084,150808
"289",1508100,150810
"290",1508126,150812
"291",1508159,150815
"292",1508209,150820
"293",1508308,150830
"294",1508357,150835
"295",1508407,150840
"296",1600105,160010
"297",1600204,160020
"298",1600212,160021
"299",1600238,160023
"300",1600253,160025
"301",1600279,160027
"302",1600303,160030
"303",1600402,160040
"304",1600501,160050
"305",1600154,160015
"306",1600535,160053
"307",1600550,160055
"308",1600600,160060
"309",1600055,160005
"310",1600709,160070
"311",1600808,160080
"312",1700251,170025
"313",1700301,170030
"314",1700350,170035
"315",1700400,170040
"316",1700707,170070
"317",1701002,170100
"318",1701051,170105
"319",1701101,170110
"320",1701309,170130
"321",1701903,170190
"322",1702000,170200
"323",1702109,170210
"324",1702158,170215
"325",1702208,170220
"326",1702307,170230
"327",1702406,170240
"328",1702554,170255
"329",1702703,170270
"330",1702901,170290
"331",1703008,170300
"332",1703057,170305
"333",1703073,170307
"334",1703107,170310
"335",1703206,170320
"336",1703305,170330
"337",1703602,170360
"338",1703701,170370
"339",1703800,170380
"340",1703826,170382
"341",1703842,170384
"342",1703867,170386
"343",1703883,170388
"344",1703891,170389
"345",1703909,170390
"346",1704105,170410
"347",1705102,170510
"348",1704600,170460
"349",1705508,170550
"350",1716703,171670
"351",1705557,170555
"352",1705607,170560
"353",1706001,170600
"354",1706100,170610
"355",1706258,170625
"356",1706506,170650
"357",1707009,170700
"358",1707108,170710
"359",1707207,170720
"360",1707306,170730
"361",1707405,170740
"362",1707553,170755
"363",1707652,170765
"364",1707702,170770
"365",1708205,170820
"366",1708304,170830
"367",1709005,170900
"368",1709302,170930
"369",1709500,170950
"370",1709807,170980
"371",1710508,171050
"372",1710706,171070
"373",1710904,171090
"374",1711100,171110
"375",1711506,171150
"376",1711803,171180
"377",1711902,171190
"378",1711951,171195
"379",1712009,171200
"380",1712157,171215
"381",1712405,171240
"382",1712454,171245
"383",1712504,171250
"384",1712702,171270
"385",1712801,171280
"386",1713205,171320
"387",1713304,171330
"388",1713601,171360
"389",1713700,171370
"390",1713957,171395
"391",1714203,171420
"392",1714302,171430
"393",1714880,171488
"394",1715002,171500
"395",1715101,171510
"396",1715150,171515
"397",1715259,171525
"398",1715507,171550
"399",1721000,172100
"400",1715705,171570
"401",1713809,171380
"402",1715754,171575
"403",1716109,171610
"404",1716208,171620
"405",1716307,171630
"406",1716505,171650
"407",1716604,171660
"408",1716653,171665
"409",1717008,171700
"410",1717206,171720
"411",1717503,171750
"412",1717800,171780
"413",1717909,171790
"414",1718006,171800
"415",1718204,171820
"416",1718303,171830
"417",1718402,171840
"418",1718451,171845
"419",1718501,171850
"420",1718550,171855
"421",1718659,171865
"422",1718709,171870
"423",1718758,171875
"424",1718808,171880
"425",1718840,171884
"426",1718865,171886
"427",1718881,171888
"428",1718899,171889
"429",1718907,171890
"430",1719004,171900
"431",1720002,172000
"432",1720101,172010
"433",1720150,172015
"434",1720200,172020
"435",1720259,172025
"436",1720309,172030
"437",1720499,172049
"438",1720655,172065
"439",1720804,172080
"440",1720853,172085
"441",1708254,170825
"442",1720903,172090
"443",1720937,172093
"444",1720978,172097
"445",1721109,172110
"446",1721208,172120
"447",1721257,172125
"448",1721307,172130
"449",1722081,172208
"450",1722107,172210
"451",2100055,210005
"452",2100105,210010
"453",2100154,210015
"454",2100204,210020
"455",2100303,210030
"456",2100402,210040
"457",2100436,210043
"458",2100477,210047
"459",2100501,210050
"460",2100550,210055
"461",2100600,210060
"462",2100709,210070
"463",2100808,210080
"464",2100832,210083
"465",2100873,210087
"466",2100907,210090
"467",2100956,210095
"468",2101004,210100
"469",2101103,210110
"470",2101202,210120
"471",2101251,210125
"472",2101301,210130
"473",2101350,210135
"474",2101400,210140
"475",2101509,210150
"476",2101608,210160
"477",2101707,210170
"478",2101772,210177
"479",2101731,210173
"480",2101806,210180
"481",2101905,210190
"482",2101939,210193
"483",2101970,210197
"484",2102002,210200
"485",2102036,210203
"486",2102077,210207
"487",2102101,210210
"488",2102150,210215
"489",2102200,210220
"490",2102309,210230
"491",2102325,210232
"492",2102358,210235
"493",2102374,210237
"494",2102408,210240
"495",2102507,210250
"496",2102556,210255
"497",2102606,210260
"498",2102705,210270
"499",2102754,210275
"500",2102804,210280
"501",2102903,210290
"502",2103000,210300
"503",2103109,210310
"504",2103125,210312
"505",2103158,210315
"506",2103174,210317
"507",2103208,210320
"508",2103257,210325
"509",2103307,210330
"510",2103406,210340
"511",2103505,210350
"512",2103554,210355
"513",2103604,210360
"514",2103703,210370
"515",2103752,210375
"516",2103802,210380
"517",2103901,210390
"518",2104008,210400
"519",2104057,210405
"520",2104073,210407
"521",2104081,210408
"522",2104099,210409
"523",2104107,210410
"524",2104206,210420
"525",2104305,210430
"526",2104404,210440
"527",2104503,210450
"528",2104552,210455
"529",2104602,210460
"530",2104628,210462
"531",2104651,210465
"532",2104677,210467
"533",2104701,210470
"534",2104800,210480
"535",2104909,210490
"536",2105005,210500
"537",2105104,210510
"538",2105153,210515
"539",2105203,210520
"540",2105302,210530
"541",2105351,210535
"542",2105401,210540
"543",2105427,210542
"544",2105450,210545
"545",2105476,210547
"546",2105500,210550
"547",2105609,210560
"548",2105658,210565
"549",2105708,210570
"550",2105807,210580
"551",2105948,210594
"552",2105906,210590
"553",2105922,210592
"554",2105963,210596
"555",2105989,210598
"556",2106003,210600
"557",2106102,210610
"558",2106201,210620
"559",2106300,210630
"560",2106326,210632
"561",2106359,210635
"562",2106375,210637
"563",2106409,210640
"564",2106508,210650
"565",2106607,210660
"566",2106631,210663
"567",2106672,210667
"568",2106706,210670
"569",2106755,210675
"570",2106805,210680
"571",2106904,210690
"572",2107001,210700
"573",2107100,210710
"574",2107209,210720
"575",2107258,210725
"576",2107308,210730
"577",2107357,210735
"578",2107407,210740
"579",2107456,210745
"580",2107506,210750
"581",2107605,210760
"582",2107704,210770
"583",2107803,210780
"584",2107902,210790
"585",2108009,210800
"586",2108058,210805
"587",2108108,210810
"588",2108207,210820
"589",2108256,210825
"590",2108306,210830
"591",2108405,210840
"592",2108454,210845
"593",2108504,210850
"594",2108603,210860
"595",2108702,210870
"596",2108801,210880
"597",2108900,210890
"598",2109007,210900
"599",2109056,210905
"600",2109106,210910
"601",2109205,210920
"602",2109239,210923
"603",2109270,210927
"604",2109304,210930
"605",2109403,210940
"606",2109452,210945
"607",2109502,210950
"608",2109551,210955
"609",2109601,210960
"610",2109700,210970
"611",2109759,210975
"612",2109809,210980
"613",2109908,210990
"614",2110005,211000
"615",2110039,211003
"616",2110104,211010
"617",2110203,211020
"618",2110237,211023
"619",2110278,211027
"620",2110302,211030
"621",2110401,211040
"622",2110500,211050
"623",2110609,211060
"624",2110658,211065
"625",2110708,211070
"626",2110807,211080
"627",2110856,211085
"628",2110906,211090
"629",2111003,211100
"630",2111029,211102
"631",2111052,211105
"632",2111078,211107
"633",2111102,211110
"634",2111201,211120
"635",2111250,211125
"636",2111300,211130
"637",2111409,211140
"638",2111508,211150
"639",2111532,211153
"640",2111573,211157
"641",2111607,211160
"642",2111631,211163
"643",2111672,211167
"644",2111706,211170
"645",2111722,211172
"646",2111748,211174
"647",2111763,211176
"648",2111789,211178
"649",2111805,211180
"650",2111904,211190
"651",2111953,211195
"652",2112001,211200
"653",2112100,211210
"654",2112209,211220
"655",2112233,211223
"656",2112274,211227
"657",2112308,211230
"658",2112407,211240
"659",2112456,211245
"660",2112506,211250
"661",2112605,211260
"662",2112704,211270
"663",2112803,211280
"664",2112852,211285
"665",2112902,211290
"666",2113009,211300
"667",2114007,211400
"668",2200053,220005
"669",2200103,220010
"670",2200202,220020
"671",2200251,220025
"672",2200277,220027
"673",2200301,220030
"674",2200400,220040
"675",2200459,220045
"676",2200509,220050
"677",2200608,220060
"678",2200707,220070
"679",2200806,220080
"680",2200905,220090
"681",2200954,220095
"682",2201002,220100
"683",2201051,220105
"684",2201101,220110
"685",2201150,220115
"686",2201176,220117
"687",2201200,220120
"688",2201309,220130
"689",2201408,220140
"690",2201507,220150
"691",2201556,220155
"692",2201572,220157
"693",2201606,220160
"694",2201705,220170
"695",2201739,220173
"696",2201770,220177
"697",2201804,220180
"698",2201903,220190
"699",2201919,220191
"700",2201929,220192
"701",2201945,220194
