"","year","iso3c","gdp"
"1",1993,"ARG",493954108132.519
"2",1994,"ARG",522748989668.395
"3",1995,"ARG",507875684712.579
"4",1996,"ARG",535944399983.447
"5",1997,"ARG",579415097951.433
"6",1998,"ARG",601723620846.732
"7",1999,"ARG",581352521561.387
"8",2000,"ARG",576765658558.573
"9",2001,"ARG",551336983728.476
"10",2002,"ARG",491271661094.349
"11",2003,"ARG",535266824974.59
"12",2004,"ARG",582965357618.555
"13",2005,"ARG",634567468592.549
"14",2006,"ARG",685632074162.636
"15",2007,"ARG",747391417750.639
"16",2008,"ARG",777714829731.587
"17",2009,"ARG",731685582513.212
"18",2010,"ARG",805771660990.415
"19",2011,"ARG",854149802268.794
"20",2012,"ARG",845382633896.996
"21",2013,"ARG",865716823490.357
"22",2014,"ARG",843964689888.389
"23",2015,"ARG",867014714555.336
"24",2016,"ARG",848977965979.329
"25",2017,"ARG",872906435201.78
"26",2018,"ARG",850513313592.625
"27",2019,"ARG",832754469212.901
"28",2020,"ARG",750268183956.682
"29",2021,"ARG",795964402520.902
"30",2022,"ARG",810488224465.654
"31",2023,"ARG",848126200000
"32",2024,"ARG",884615900000
"33",2025,"ARG",915992600000
"34",2026,"ARG",943094200000
"35",2027,"ARG",967460400000
"36",2028,"ARG",990326400000
"37",2029,"ARG",1.012411e+12
"38",2030,"ARG",1.034128e+12
"39",2031,"ARG",1.055697e+12
"40",2032,"ARG",1.077232e+12
"41",2033,"ARG",1.098769e+12
"42",2034,"ARG",1.120301e+12
"43",2035,"ARG",1.141795e+12
"44",2036,"ARG",1.163215e+12
"45",2037,"ARG",1.184521e+12
"46",2038,"ARG",1.205682e+12
"47",2039,"ARG",1.226668e+12
"48",2040,"ARG",1.247469e+12
"49",2041,"ARG",1.268104e+12
"50",2042,"ARG",1.288622e+12
"51",2043,"ARG",1.309112e+12
"52",2044,"ARG",1.329669e+12
"53",2045,"ARG",1.350377e+12
"54",2046,"ARG",1.371294e+12
"55",2047,"ARG",1.392444e+12
"56",2048,"ARG",1.41382e+12
"57",2049,"ARG",1.435395e+12
"58",2050,"ARG",1.45714e+12
"59",2051,"ARG",1.47904e+12
"60",2052,"ARG",1.501082e+12
"61",2053,"ARG",1.523271e+12
"62",2054,"ARG",1.545619e+12
"63",2055,"ARG",1.568151e+12
"64",2056,"ARG",1.590903e+12
"65",2057,"ARG",1.613908e+12
"66",2058,"ARG",1.637214e+12
"67",2059,"ARG",1.660871e+12
"68",2060,"ARG",1.684933e+12
"69",1990,"AUS",514523527335.494
"70",1991,"AUS",507675980286.004
"71",1992,"AUS",522807944881.414
"72",1993,"AUS",544209720035.55
"73",1994,"AUS",569998059105.56
"74",1995,"AUS",587555520864.786
"75",1996,"AUS",611347307212.939
"76",1997,"AUS",636796350606.8
"77",1998,"AUS",668579328329.374
"78",1999,"AUS",696696045066.908
"79",2000,"AUS",719751964462.384
"80",2001,"AUS",739380686248.309
"81",2002,"AUS",768514044892.545
"82",2003,"AUS",790965457679.687
"83",2004,"AUS",822366805586.701
"84",2005,"AUS",847531961222.169
"85",2006,"AUS",870897293371.858
"86",2007,"AUS",909471787665.292
"87",2008,"AUS",932617978387.45
"88",2009,"AUS",950201587703.37
"89",2010,"AUS",973462952187.157
"90",2011,"AUS",1000063110636.43
"91",2012,"AUS",1039364756030.31
"92",2013,"AUS",1061186759774.17
"93",2014,"AUS",1088236407174.24
"94",2015,"AUS",1113216662230.23
"95",2016,"AUS",1143607593839.28
"96",2017,"AUS",1171521978292.87
"97",2018,"AUS",1205264777645.75
"98",2019,"AUS",1228699214052.42
"99",2020,"AUS",1197917936775.58
"100",2021,"AUS",1259414440557.4
"101",2022,"AUS",1302655003741.4
"102",2023,"AUS",1.343408e+12
"103",2024,"AUS",1.382308e+12
"104",2025,"AUS",1.42029e+12
"105",2026,"AUS",1.45815e+12
"106",2027,"AUS",1.496279e+12
"107",2028,"AUS",1.53482e+12
"108",2029,"AUS",1.573857e+12
"109",2030,"AUS",1.613475e+12
"110",2031,"AUS",1.653734e+12
"111",2032,"AUS",1.694653e+12
"112",2033,"AUS",1.736199e+12
"113",2034,"AUS",1.778305e+12
"114",2035,"AUS",1.820914e+12
"115",2036,"AUS",1.864007e+12
"116",2037,"AUS",1.907572e+12
"117",2038,"AUS",1.951647e+12
"118",2039,"AUS",1.996285e+12
"119",2040,"AUS",2.041542e+12
"120",2041,"AUS",2.087444e+12
"121",2042,"AUS",2.13396e+12
"122",2043,"AUS",2.180996e+12
"123",2044,"AUS",2.228435e+12
"124",2045,"AUS",2.276186e+12
"125",2046,"AUS",2.324232e+12
"126",2047,"AUS",2.372592e+12
"127",2048,"AUS",2.421374e+12
"128",2049,"AUS",2.470749e+12
"129",2050,"AUS",2.52093e+12
"130",2051,"AUS",2.572145e+12
"131",2052,"AUS",2.624589e+12
"132",2053,"AUS",2.678432e+12
"133",2054,"AUS",2.733837e+12
"134",2055,"AUS",2.790961e+12
"135",2056,"AUS",2.849944e+12
"136",2057,"AUS",2.910808e+12
"137",2058,"AUS",2.973533e+12
"138",2059,"AUS",3.038041e+12
"139",2060,"AUS",3.104236e+12
"140",1990,"BRA",1534984108403.34
"141",1991,"BRA",1550333949487.37
"142",1992,"BRA",1542582279739.93
"143",1993,"BRA",1618168811447.19
"144",1994,"BRA",1713640771322.58
"145",1995,"BRA",1785613683718.12
"146",1996,"BRA",1824897184759.92
"147",1997,"BRA",1886849633826.89
"148",1998,"BRA",1893229032680.84
"149",1999,"BRA",1902088162832.49
"150",2000,"BRA",1985550829527.91
"151",2001,"BRA",2013147928968.37
"152",2002,"BRA",2074618633475.18
"153",2003,"BRA",2098286484302.41
"154",2004,"BRA",2219147043858.68
"155",2005,"BRA",2290207047609.84
"156",2006,"BRA",2380944792472.87
"157",2007,"BRA",2525465060712.59
"158",2008,"BRA",2654117187025.05
"159",2009,"BRA",2650777988784.6
"160",2010,"BRA",2850334542320.85
"161",2011,"BRA",2963618896151.38
"162",2012,"BRA",3020555230550.12
"163",2013,"BRA",3111317558895.91
"164",2014,"BRA",3126997222650.26
"165",2015,"BRA",3016121299772.88
"166",2016,"BRA",2917315671941.97
"167",2017,"BRA",2955907938009.46
"168",2018,"BRA",3008631485745.81
"169",2019,"BRA",3051087878450.42
"170",2020,"BRA",2927242748886.82
"171",2021,"BRA",3035829557905.98
"172",2022,"BRA",3111960685114.44
"173",2023,"BRA",3.204767e+12
"174",2024,"BRA",3.294893e+12
"175",2025,"BRA",3.379235e+12
"176",2026,"BRA",3.459176e+12
"177",2027,"BRA",3.535859e+12
"178",2028,"BRA",3.610793e+12
"179",2029,"BRA",3.685009e+12
"180",2030,"BRA",3.758912e+12
"181",2031,"BRA",3.832638e+12
"182",2032,"BRA",3.906212e+12
"183",2033,"BRA",3.979679e+12
"184",2034,"BRA",4.053077e+12
"185",2035,"BRA",4.126441e+12
"186",2036,"BRA",4.199798e+12
"187",2037,"BRA",4.273145e+12
"188",2038,"BRA",4.346415e+12
"189",2039,"BRA",4.419491e+12
"190",2040,"BRA",4.492234e+12
"191",2041,"BRA",4.564508e+12
"192",2042,"BRA",4.636089e+12
"193",2043,"BRA",4.706795e+12
"194",2044,"BRA",4.776454e+12
"195",2045,"BRA",4.844926e+12
"196",2046,"BRA",4.912127e+12
"197",2047,"BRA",4.977987e+12
"198",2048,"BRA",5.042484e+12
"199",2049,"BRA",5.105633e+12
"200",2050,"BRA",5.1675e+12
"201",2051,"BRA",5.228207e+12
"202",2052,"BRA",5.28787e+12
"203",2053,"BRA",5.34665e+12
"204",2054,"BRA",5.404732e+12
"205",2055,"BRA",5.462319e+12
"206",2056,"BRA",5.519602e+12
"207",2057,"BRA",5.576626e+12
"208",2058,"BRA",5.633426e+12
"209",2059,"BRA",5.690021e+12
"210",2060,"BRA",5.746465e+12
"211",1990,"CAN",899644216914.714
"212",1991,"CAN",880876869564.756
"213",1992,"CAN",888807047896.76
"214",1993,"CAN",912456928696.222
"215",1994,"CAN",953466997072.541
"216",1995,"CAN",979153171716.058
"217",1996,"CAN",995007350304.084
"218",1997,"CAN",1037594063671.31
"219",1998,"CAN",1078020303867.22
"220",1999,"CAN",1133677560720.32
"221",2000,"CAN",1192375254700.6
"222",2001,"CAN",1213718447863.81
"223",2002,"CAN",1250349084111.53
"224",2003,"CAN",1272874349146.18
"225",2004,"CAN",1312167736142.64
"226",2005,"CAN",1354212220374.41
"227",2006,"CAN",1389886284524.06
"228",2007,"CAN",1418682296681.65
"229",2008,"CAN",1432929969578.18
"230",2009,"CAN",1391003074725.96
"231",2010,"CAN",1433983949340.91
"232",2011,"CAN",1479098525464.58
"233",2012,"CAN",1505144881937.92
"234",2013,"CAN",1540201550360.99
"235",2014,"CAN",1584405889956.47
"236",2015,"CAN",1594849927406.03
"237",2016,"CAN",1610820665694.27
"238",2017,"CAN",1659787684065.19
"239",2018,"CAN",1700113015686.71
"240",2019,"CAN",1731759180231.19
"241",2020,"CAN",1638195720375.72
"242",2021,"CAN",1738685474499.96
