"","year","code_state","level_one","level_two","emissions_type","co2e_emissions"
"1",1970,"BR","Agropecuária","Cultivo de Arroz","net",6288149.70196
"2",1970,"BR","Agropecuária","Fermentação Entérica","net",151816021.86632
"3",1970,"BR","Agropecuária","Manejo de Dejetos Animais","net",10598844.0445
"4",1970,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",639732.35543
"5",1970,"BR","Agropecuária","Solos Manejados","net",43502904.54629
"6",1970,"BR","Energia","Emissões Fugitivas","net",2571805.16888796
"7",1970,"BR","Energia","Emissões pela Queima de Combustíveis","net",102017265.634925
"8",1970,"BR","Processos Industriais","Emissões de HFCs","net",0
"9",1970,"BR","Processos Industriais","Indústria Química","net",1929678.91666904
"10",1970,"BR","Processos Industriais","Produção de Metais","net",6242364.5125165
"11",1970,"BR","Processos Industriais","Produtos Minerais","net",5390673.41130241
"12",1970,"BR","Processos Industriais","Uso de SF6","net",0
"13",1970,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"14",1970,"BR","Resíduos","Resíduos Sólidos","net",316967.475653789
"15",1970,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",9446185.06162825
"16",1971,"BR","Agropecuária","Cultivo de Arroz","net",5737616.81164
"17",1971,"BR","Agropecuária","Fermentação Entérica","net",158426522.09944
"18",1971,"BR","Agropecuária","Manejo de Dejetos Animais","net",11017092.76411
"19",1971,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",687338.19815
"20",1971,"BR","Agropecuária","Solos Manejados","net",45200070.49446
"21",1971,"BR","Energia","Emissões Fugitivas","net",2840683.12245858
"22",1971,"BR","Energia","Emissões pela Queima de Combustíveis","net",112111497.985739
"23",1971,"BR","Processos Industriais","Emissões de HFCs","net",0
"24",1971,"BR","Processos Industriais","Indústria Química","net",2126183.38585546
"25",1971,"BR","Processos Industriais","Produção de Metais","net",6297611.83511829
"26",1971,"BR","Processos Industriais","Produtos Minerais","net",5795527.82641526
"27",1971,"BR","Processos Industriais","Uso de SF6","net",0
"28",1971,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"29",1971,"BR","Resíduos","Resíduos Sólidos","net",569939.617999439
"30",1971,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",9703964.7297321
"31",1972,"BR","Agropecuária","Cultivo de Arroz","net",5805003.26728
"32",1972,"BR","Agropecuária","Fermentação Entérica","net",165037026.364
"33",1972,"BR","Agropecuária","Manejo de Dejetos Animais","net",11441919.24757
"34",1972,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",734944.13427
"35",1972,"BR","Agropecuária","Solos Manejados","net",47627697.26807
"36",1972,"BR","Energia","Emissões Fugitivas","net",3330329.2864985
"37",1972,"BR","Energia","Emissões pela Queima de Combustíveis","net",119839757.990324
"38",1972,"BR","Processos Industriais","Emissões de HFCs","net",0
"39",1972,"BR","Processos Industriais","Indústria Química","net",2669567.26709875
"40",1972,"BR","Processos Industriais","Produção de Metais","net",6903108.87124248
"41",1972,"BR","Processos Industriais","Produtos Minerais","net",6501488.03431952
"42",1972,"BR","Processos Industriais","Uso de SF6","net",0
"43",1972,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
